券商名稱,個股名稱,買進張數,賣出張數,買賣超張數
 元大華山,台塑,213,3,210
 元大華山,聯電,118,1,117
 元大華山,00637L元大滬深300正2,58,0,58
 元大華山,強茂,40,0,40
 元大華山,00968B元大優息投等債,31,0,31
 元大華山,鴻準,22,1,21
 元大華山,和椿,26,6,20
 元大華山,華航,21,1,20
 元大華山,鈺邦,20,0,20
 元大華山,千附精密,20,0,20
 元大華山,富喬,19,4,15
 元大華山,00924復華S＆P500成長,12,0,12
 元大華山,00752中信中國50,11,0,11
 元大華山,緯創,19,8,11
 元大華山,00670L富邦NASDAQ正2,10,0,10
 元大華山,宏��,11,1,10
 元大華山,兆豐金,9,0,9
 元大華山,中磊,9,0,9
 元大華山,鉅祥,7,0,7
 元大華山,九暘,7,0,7
 元大華山,泰金寶-DR,9,2,7
 元大華山,立��,7,1,6
 元大華山,新應材,7,1,6
 元大華山,達邁,29,24,5
 元大華山,廣達,5,0,5
 元大華山,合庫金,5,0,5
 元大華山,00632R元大台灣50反1,5,0,5
 元大華山,00858永豐美國500大,5,0,5
 元大華山,00739元大MSCI A股,5,0,5
 元大華山,00647L元大S＆P500正2,5,0,5
 元大華山,凱撒衛,5,0,5
 元大華山,新至陞,5,0,5
 元大華山,汎銓,5,0,5
 元大華山,東捷,4,0,4
 元大華山,康霈*,4,0,4
 元大華山,00922國泰台灣領袖50,3,0,3
 元大華山,聯發科,3,0,3
 元大華山,00909國泰數位支付服務,3,0,3
 元大華山,世界,3,0,3
 元大華山,上奇,3,0,3
 元大華山,建漢,3,0,3
 元大華山,統一超,2,0,2
 元大華山,台泥,2,0,2
 元大華山,昇陽半導體,5,3,2
 元大華山,全球傳動,2,0,2
 元大華山,00631L元大台灣50正2,3,1,2
 元大華山,00937B群益ESG投等債20,2,0,2
 元大華山,聚陽,2,0,2
 元大華山,榮成,2,0,2
 元大華山,台揚,2,0,2
 元大華山,00965元大航太防衛科技,0,390,-390
 元大華山,00940元大台灣價值高息,0,73,-73
 元大華山,宏齊,0,50,-50
 元大華山,國泰金,1,32,-31
 元大華山,00881國泰台灣5G+,0,20,-20
 元大華山,00671R富邦NASDAQ反1,0,20,-20
 元大華山,中鴻,0,20,-20
 元大華山,00679B元大美債20年,0,20,-20
 元大華山,穎漢,0,15,-15
 元大華山,力積電,10,25,-15
 元大華山,00947台新臺灣IC設計,0,13,-13
 元大華山,神達,21,32,-11
 元大華山,第一保,0,10,-10
 元大華山,訊達,0,10,-10
 元大華山,和大,0,10,-10
 元大華山,英業達,3,13,-10
 元大華山,富邦金,1,10,-9
 元大華山,亞翔,0,9,-9
 元大華山,00929復華台灣科技優息,0,9,-9
 元大華山,00642U期元大S＆P石油,0,8,-8
 元大華山,燿華,0,8,-8
 元大華山,006208富邦台50,4,12,-8
 元大華山,華榮,0,6,-6
 元大華山,新光金,0,6,-6
 元大華山,訊映,0,6,-6
 元大華山,興能高,23,29,-6
 元大華山,志強-KY,0,6,-6
 元大華山,日月光投控,0,6,-6
 元大華山,信大,0,5,-5
 元大華山,台化,0,5,-5
 元大華山,中華,0,5,-5
 元大華山,光寶科,0,5,-5
 元大華山,宏達電,12,17,-5
 元大華山,長榮,0,5,-5
 元大華山,亞航,0,5,-5
 元大華山,威強電,0,5,-5
 元大華山,元大台灣50,1,5,-4
