dealer_id,dealer_name,sub_dealer_id,sub_dealer_name,,
(牛牛牛)亞證卷,6010,(牛牛牛)亞證卷,6010,,
(牛牛牛)亞證卷,6010,(牛牛牛)亞-網路,6012,,
(牛牛牛)亞證卷,6010,(牛牛牛)亞-鑫豐,0036003000310064,,
口袋證卷,6620,口袋證卷,6620,,
土　　銀,1030,土　　銀,1030,,
土　　銀,1030,土銀台中,1031,,
土　　銀,1030,土銀台南,1032,,
土　　銀,1030,土銀高雄,1033,,
土　　銀,1030,土銀嘉義,1034,,
土　　銀,1030,土銀新竹,1035,,
土　　銀,1030,土銀玉里,1036,,
土　　銀,1030,土銀花蓮,1037,,
土　　銀,1030,土銀和平,1038,,
土　　銀,1030,土銀士林,1039,,
土　　銀,1030,土銀建國,0031003000330041,,
土　　銀,1030,土銀彰化,0031003000330042,,
土　　銀,1030,土銀白河,0031003000330043,,
土　　銀,1030,土銀南港,0031003000330046,,
大和國泰,8890,大和國泰,8890,,
大    昌,6460,大    昌,6460,,
大    昌,6460,大昌樹林,6461,,
大    昌,6460,大昌安康,6462,,
大    昌,6460,大昌新竹,6463,,
大    昌,6460,大昌新店,6464,,
大    昌,6460,大昌桃園,6465,,
大    展,5050,大    展,5050,,
大    展,5050,大展台南,5058,,
 中國信託      ,6160, 中國信託      ,6160,,
 中國信託      ,6160, 中信三重      ,6161,,
 中國信託      ,6160, 中信託忠      ,6162,,
 中國信託      ,6160, 中信託永      ,6163,,
 中國信託      ,6160, 中信託文      ,6164,,
 中國信託      ,6160, 中信託新      ,6165,,
 中國信託      ,6160, 中信松江      ,6167,,
 中國信託      ,6160, 中信嘉義      ,6168,,
 中國信託      ,6160, 中信中壢,0036003100360041,,
 中國信託      ,6160, 中信託高      ,003600310036004b,,
 中國信託      ,6160, 中國信託-國際證卷  ,0036003100360058,,
中農,8520,中農,8520,,
 元大    ,9800, 元大    ,9800,,
 元大    ,9800, 元大城東,9801,,
 元大    ,9800, 元大斗六,0039003800300043,,
 元大    ,9800, 元大北府,0039003800300044,,
 元大    ,9800, 元大沙鹿,0039003800300064,,
 元大    ,9800, 元大清水,0039003800300065,,
 元大    ,9800, 元大台北,0039003800300068,,
 元大    ,9800, 元大竹科,003900380030004b,,
 元大    ,9800, 元大虎尾,003900380030006c,,
 元大    ,9800, 元大南崁,0039003800300051,,
 元大    ,9800, 元大南海,0039003800300052,,
 元大    ,9800, 元大府城,0039003800300075,,
 元大    ,9800, 元大西屯,0039003800300077,,
 元大    ,9800, 元大台中,9812,,
 元大    ,9800, 元大八德,9813,,
 元大    ,9800, 元大大益,9814,,
 元大    ,9800, 元大大灣,9815,,
 元大    ,9800, 元大新竹,9816,,
 元大    ,9800, 元大東泰,9817,,
 元大    ,9800, 元大歸仁,0039003800310061,,
 元大    ,9800, 元大鶯歌,0039003800310041,,
 元大    ,9800, 元大竹北,0039003800310042,,
 元大    ,9800, 元大路竹,0039003800310043,,
 元大    ,9800, 元大南投,0039003800310044,,
 元大    ,9800, 元大佳里,0039003800310065,,
 元大    ,9800, 元大發財,0039003800310045,,
 元大    ,9800, 元大福營,0039003800310046,,
 元大    ,9800, 元大大里,0039003800310067,,
 元大    ,9800, 元大大里德芳,0039003800330057,,
 元大    ,9800, 元大彰化,0039003800310047,,
 元大    ,9800, 元大屏生,0039003800310068,,
 元大    ,9800, 元大天母,0039003800310049,,
 元大    ,9800, 元大西螺,0039003800310069,,
 元大    ,9800, 元大士林,003900380031006a,,
 元大    ,9800, 元大林園,003900380031004b,,
 元大    ,9800, 元大莒光,003900380031004c,,
 元大    ,9800, 元大前金,003900380031006d,,
 元大    ,9800, 元大苗栗,003900380031004d,,
 元大    ,9800, 元大金門,003900380031004e,,
 元大    ,9800, 元大旗山,003900380031006e,,
 元大    ,9800, 元大松山,0039003800310070,,
 元大    ,9800, 元大太平,0039003800310051,,
 元大    ,9800, 元大萬華,0039003800310071,,
 元大    ,9800, 元大竹山,0039003800310052,,
 元大    ,9800, 元大屏南,0039003800310072,,
 元大    ,9800, 元大崇德,0039003800310053,,
 元大    ,9800, 元大華山,0039003800310055,,
 元大    ,9800, 元大民雄,0039003800310056,,
 元大    ,9800, 元大新生,0039003800310058,,
 元大    ,9800, 元大善化,0039003800310079,,
 元大    ,9800, 元大大統,003900380031007a,,
 元大    ,9800, 元大潮州,003900380031005a,,
 元大    ,9800, 元大學府,9822,,
 元大    ,9800, 元大向上,9824,,
 元大    ,9800, 元大新營,9825,,
 元大    ,9800, 元大永康,9829,,
 元大    ,9800, 元大羅東,0039003800320041,,
 元大    ,9800, 元大博愛,0039003800320042,,
 元大    ,9800, 元大六合,0039003800320043,,
 元大    ,9800, 元大忠鼎,0039003800320046,,
 元大    ,9800, 元大四維,9831,,
 元大    ,9800, 元大敦化,9833,,
 元大    ,9800, 元大中壢,9834,,
 元大    ,9800, 元大員林中山,9835,,
 元大    ,9800, 元大中山北路,0039003800300061,,
 元大    ,9800, 元大北港,9837,,
 元大    ,9800, 元大豐原,9838,,
 元大    ,9800, 元大林森,0039003800330042,,
 元大    ,9800, 元大竹東,0039003800330066,,
 元大    ,9800, 元大上新,0039003800330047,,
 元大    ,9800, 元大大雅,0039003800330069,,
 元大    ,9800, 元大仁愛,003900380033006a,,
 元大    ,9800, 元大學甲,003900380033004b,,
 元大    ,9800, 元大木柵,003900380033004d,,
 元大    ,9800, 元大大安,003900380033004e,,
 元大    ,9800, 元大頭份,0039003800330055,,
 元大    ,9800, 元大竹南,0039003800330056,,
 元大    ,9800, 元大鳳山,003900380033005a,,
 元大    ,9800, 元大大直,9846,,
 元大    ,9800, 元大新中,0039003800340043,, 
 元大    ,9800, 元大南勢,0039003800340045,,
 元大    ,9800, 元大景美,0039003800340048,,
 元大    ,9800, 元大館前,003900380034004b,,
 元大    ,9800, 元大永春,9852,,
 元大    ,9800, 元大南屯,9853,,
 元大    ,9800, 元大興安,9854,,
 元大    ,9800, 元大花蓮,9856,,
 元大    ,9800, 元大蘆洲,9857,,
 元大    ,9800, 元大龍潭,9858,,
 元大    ,9800, 元大經國,9859,,
 元大    ,9800, 元大鳳中,0039003800350043,,
 元大    ,9800, 元大岡山,0039003800350046,,
 元大    ,9800, 元大南京,9862,,
 元大    ,9800, 元大和平,9863,,
 元大    ,9800, 元大民權,9867,,
 元大    ,9800, 元大文心,9868,,
 元大    ,9800, 元大新盛,9869,,
 元大    ,9800, 元大基孝,003900380036004b,,
 元大    ,9800, 元大忠孝,9871,,
 元大    ,9800, 元大復北,9872,,
 元大    ,9800, 元大雙和,9874,,
 元大    ,9800, 元大永寧,9875,,
 元大    ,9800, 元大金華,9878,,
 元大    ,9800, 元大板三,9879,,
 元大    ,9800, 元大楊梅,0039003800370041,,
 元大    ,9800, 元大斗信,9884,,
 元大    ,9800, 元大鑫永,9888,,
 元大    ,9800, 元大員林,9889,,
 元大    ,9800, 元大桃園,0039003800380042,,
